Speaker 1:          00:00:01       Want me to introduce you, ladies and gentlemen, the great Everlast. Hmm.
Speaker 9:          02:44:43       I don't think he was supposed to be proper society either though. I'm sure it was a pimp. I mean the most like 90% of the squares came out of the fucking pimp guy's mouth. That's true most of the time. But that guy scores so much was just like, he was awesome. It was amazing. It was beautiful. It was a feat of genius. He, I didn't know a human being could swear as much in as, as, as differently as that guy did on that show and have it sound as natural. Oh yeah. He just wore it rolled off his tongue is if that, there was just a, I swear to God, the first time I saw an interview with that guy and he'd spoken to English fucking accident, I was just like, no fucking way. Fuck Outta here. It's hilarious when dudes, then you hear dudes, you know, and they're like English, like really?

Speaker 9:          02:45:24       Like, oh, that there's no way that guy's not American. You know what I mean? There are Australian, you ever hear Jim Jefferies do that? Jim Brett, Jeffery's the comedian, he's hilarious. Oh yeah. He's an Australian guy. But he can do the perfect American accent like, yeah. Perfect. And it's guy freaks you out when you hear him talk and then he goes American on you. Yeah. All right. We're almost done here. So, uh, let, let's end. You want to end with one more song? Oh, me tell we got that. We could do that. Let me think. We're going to

Speaker 5:          02:45:49       do here in 10 minutes. Okay. Yeah. One will, we'll lend it. So thank you to our sponsors on it.com. Um, legal zoom, use the code name, Rogan on both of those. It'd be so easy if it all is all the code name Brogan, but it's not. So that's our sponsors. Ladies and gentlemen, we will see you tonight at the Ice House. It'll be uh, Brian Redband,

Speaker 4:          02:46:10       Brian Cowen, I'm finished with me. Sorry. Um, Eddie F, Sam, Tripoli and Wa. And that's tonight at 10:00 PM at the Ice House. And Joey Diaz is next door doing his podcast at eight 30. So if you get there early, go in and watch that shit too. And we're going to try to convince Jodie to come over and do a set with us. And then this weekend we're in Milwaukee, Joey and I at the Pabst theater, but it's basically sold out. It was only a few tickets left, so you might get some single seats and shit like that. And um, and that's it. So we'll see you guys soon. Tomorrow night. We got a little release party at Hotel cafe in Hollywood. So La, stand out, come on out. Beautiful. Where's the hotel cafe? It's like right off Hollywood. Been between Holloway and sunset unbelief. Awesome. What time is that? 10 30 yeah, I hit at 10 30 so, but it's a small place. Someone like 150 seats man. So jump on it. Bitches life acoustic out now support Everlast go out and buy this shit. Put your money where your mouth is. If you fucking dirty. Beautiful freaks. All right,

Speaker 3:          02:47:11       beautiful time.

Speaker 2:          02:47:29       Pack it up. Pack it. Led me beforehand and battle me. That's a sin. Never snack. Old punk. You better back up child. Play the act up. Get up, stand up. Throw your hand up. Got The failing. Jump up towards the ceiling flow. Someone talk. Joe T, daft punk. The chicken in this calves at a donut shop. Soon enough that my mom and the map again, get down, get down. It's paid out. Jim seed, everybody jump, jump, jump, jump around from town to town. Slag jump. Everybody jump as Sylvia as like John Mcenroe with you to step up. I still smack that whole birds or your mom came to jab more in the Bible. God, psalms and just stack son. Once he's getting Zach got chewing gum. None. Come back. Bring a shotgun. Ooh. Cause the death step to me. It take your last breath. You gone get you the gift. Fashion it down. Get Out. Show seed. Everybody jump around.

Speaker 2:          02:49:16       Jump everybody jump around. Jump around from town. It sounds bad. Too bad we jump around, jump around. I'm the queen. The crap. I rise to the top. I never eat a big, there's a big as cap ed to get some Nita like Donald sorts of Nigga [inaudible] name was Sega. Dana one now like no bitch. You still wanting to stab a mind, switch it up. Bubble around you down without your hand. Then you, Dan from commonly gets Ya. Come in and get ya. Spitting down there is the outlets. Yeah, that came to get down. Get down, get out. You'll see them jump around. Jump, jump, jump around from town to town. From bed to bed. Slide. Everybody jump around.
