Speaker 1:          00:00:03       And doing it again, I can.
Speaker 8:          02:05:51       Sure. No, I mean I voted for him. Yeah, like right people read books. But the white people don't read books. Those white people hate him. It's interesting when they listened to like, I'm not saying that Obama was a saint and I'm not saying that I'm a supporter because I certainly wasn't supportive before he got into office. But then I think I liked them as a human being. Like when I listened to him talk, it doesn't sound good Dick Guy. I liked him because he strikes me as eminently sensible. I don't think the socialist, the one thing he said, he said, he said, what is the one thing we don't know about you? And he said, I believe the free enterprise system is the most important, uh, you know, something to the effect of it's the most important thing for a high standard you're living.

Speaker 2:          02:06:30       He said there's but, but, but, but with, with checks and balances. And so I think he's, I don't think he is this far left guy. I actually think he's very much in the middle in a very sensible guy. And I think the more I read about his policies, I happen to agree with his foreign policy, visa vi Iran and other places more than I do with Rami. I just think he's more reasonable. Man. He's a very smart guy. But the issue is that I can't really, I don't really see him being able to do what anybody. I don't think there's any one person that has any real say, oh, there never has been in our government. You're not supposed to, but I know what you're saying. But I'm saying it's like all the different things that he wanted to do before he got into office, closed Guantanamo Bay, you know when he said he would veto the NDA, the all the different things. It's so blatantly obvious that the position is not what we envisioned. That was when we were kids. We thought of being the president and this is one guy who was going to figure it all out. Everybody get in line, we're going to do this the right way, and he leads us to victory like this. This system is a fucking complicated. Just know maybe what you said. What you said is that the biggest thing is most people don't feel represented.

Speaker 7:          02:07:36       It's like you know, you, you, you, you feel like if you vote for Romney or you vote for Obama is not going to make that much of a difference because you're kind of voting for the same guy in some way.

Speaker 8:          02:07:44       Yeah. The that moved into the position of power that is clearly stronger and more influential than the people can have a big, big effect on who gets elected to the supreme court and socially they have

Speaker 7:          02:07:57       an impact on an agenda. Right. So, and I have, I actually think that Romney in Obama's foreign policy or different enough, I think that romney is rattling his sword in Iran. You know? I don't know. I just don't agree with.

Speaker 8:          02:08:12       I don't think anybody who's a governor could ever possibly know what it's like to be a president at the same way when Obama was running for office and he said he would do this about Afghanistan and mccain went, Whoa, Whoa, whoa. Like you don't you know, you, you can't say this is some shit. When Mccain and Romney and Obama were campaigning where it was clearly campaigning talk, it was clearly like speeches, but there was a moment when Obama was talking about Afghanistan and Mccain went like, you don't even know what you're talking about. Like you're describing an area that hasn't changed much since the time of Alexander the Great, like this idea that you're going to go in there and just take over the land. Like you're, that's crazy. Talk like, you know, and Mccain, the way he did it, it was like, Whoa, Whoa, Whoa, son. It was like, this was a serious topic. All that fucking campaign and bullshit aside. Like, you're, you're, you're talking about what I did for a living. You're talking crazy. Like you don't know what the with it's what happens to presidents

Speaker 7:          02:09:05       realizing it. Certainly I got that impression from, from our scenario where, you know, the impression I got from him, what he's saying is that you don't have any power. I mean, you, you, you can set an agenda and you can veto things, but at the end of the day, you're not doing much without congress. If anything. Uh, and, and by the way, you're dealing with a lot of different, you know, a vested interest
